Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.37     0.00    58377     0.00     0.00  quill::v11::detail::BackendWorker::_poll()
  0.00      0.37     0.00    54556     0.00     0.00  titan::http::Parser::on_message_begin(llhttp__internal_s*)
  0.00      0.37     0.00    54544     0.00     0.00  titan::http::Parser::on_headers_complete(llhttp__internal_s*)
  0.00      0.37     0.00    43409     0.00     0.00  void std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_assign_elements<std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> > const&>(std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> > const&)
  0.00      0.37     0.00    43396     0.00     0.00  titan::gateway::UpstreamManager::get_upstream(std::basic_string_view<char, std::char_traits<char> >) const
  0.00      0.37     0.00    43388     0.00     0.00  titan::http::Parser::on_message_complete(llhttp__internal_s*)
  0.00      0.37     0.00    43350     0.00     0.00  titan::gateway::extract_param_names[abi:cxx11](std::basic_string_view<char, std::char_traits<char> >)
  0.00      0.37     0.00    43319     0.00     0.00  titan::http::Parser::parse_request(std::span<unsigned char const, 18446744073709551615ul>, titan::http::Request&)
  0.00      0.37     0.00    43064     0.00     0.00  titan::core::Server::remove_backend_from_epoll(int)
  0.00      0.37     0.00    33025     0.00     0.00  titan::http::Parser::Parser()
  0.00      0.37     0.00    33003     0.00     0.00  titan::http::Parser::~Parser()
  0.00      0.37     0.00    32958     0.00     0.00  titan::http::Parser::parse_response(std::span<unsigned char const, 18446744073709551615ul>, titan::http::Response&)
  0.00      0.37     0.00    32947     0.00     0.00  titan::http::Parser::on_status(llhttp__internal_s*, char const*, unsigned long)
  0.00      0.37     0.00    21829     0.00     0.00  std::vector<titan::http::Header, std::allocator<titan::http::Header> >::reserve(unsigned long)
  0.00      0.37     0.00    21826     0.00     0.00  titan::gateway::Middleware::process_response(titan::gateway::ResponseContext&)
  0.00      0.37     0.00    21819     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::pair<int, int> >, std::allocator<std::pair<int const, std::pair<int, int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::erase(std::__detail::_Node_const_iterator<std::pair<int const, std::pair<int, int> >, false, false>)
  0.00      0.37     0.00    21818     0.00     0.00  titan::gateway::Pipeline::execute_response(titan::gateway::ResponseContext&)
  0.00      0.37     0.00    21813     0.00     0.00  titan::http::to_reason_phrase(titan::http::StatusCode)
  0.00      0.37     0.00    21810     0.00     0.00  titan::gateway::LoggingMiddleware::process_response(titan::gateway::ResponseContext&)
